timestamps,delta_absolute_1,delta_absolute_2,delta_absolute_3,delta_absolute_4,theta_absolute_1,theta_absolute_2,theta_absolute_3,theta_absolute_4,alpha_absolute_1,alpha_absolute_2,alpha_absolute_3,alpha_absolute_4,beta_absolute_1,beta_absolute_2,beta_absolute_3,beta_absolute_4,gamma_absolute_1,gamma_absolute_2,gamma_absolute_3,gamma_absolute_4,delta_relative_1,delta_relative_2,delta_relative_3,delta_relative_4,theta_relative_1,theta_relative_2,theta_relative_3,theta_relative_4,alpha_relative_1,alpha_relative_2,alpha_relative_3,alpha_relative_4,beta_relative_1,beta_relative_2,beta_relative_3,beta_relative_4,gamma_relative_1,gamma_relative_2,gamma_relative_3,gamma_relative_4,delta_session_score_1,delta_session_score_2,delta_session_score_3,delta_session_score_4,theta_session_score_1,theta_session_score_2,theta_session_score_3,theta_session_score_4,alpha_session_score_1,alpha_session_score_2,alpha_session_score_3,alpha_session_score_4,beta_session_score_1,beta_session_score_2,beta_session_score_3,beta_session_score_4,gamma_session_score_1,gamma_session_score_2,gamma_session_score_3,gamma_session_score_4,focused
1569117815.9926500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100254,0.0586613,0.215505,0.118338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.9926700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354667,0.129357,0.196154,0.319651,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.9926900,,,,,,,,,,,,,,,,,,,,,0.106398,0.493287,0.222503,0.118922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.9927000,,,,,,,,,,,,,,,,,,,,,,,,,0.0735343,0.173652,0.140277,0.157679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117815.9927200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365147,0.145042,0.22556,0.285409,,,,,,,,,,,,,,,,,,,,,0
1569117815.9927500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.230769,0.978022,0.0,,,,,,,,,0
1569117815.9927600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.521008,1.0,0.0,,,,,0
1569117815.9927700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.653061,0.0,,,,,,,,,,,,,,,,,0
1569117815.9927800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8,0.773109,0.0,,,,,,,,,,,,,0
1569117815.9927900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.584615,1.0,0.0,0
1569117816.0941600,,,,,,,,,0.487087,0.119536,0.806381,0.467363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.0942100,,,,,,,,,,,,,1.03581,0.431399,0.734689,0.898914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.0942400,0.512922,0.996667,0.828716,0.469502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.0942600,,,,,0.352477,0.532689,0.549438,0.592013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.0942800,,,,,,,,,,,,,,,,,1.04845,0.500574,0.814484,0.849706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.0943000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100254,0.0641846,0.223571,0.118338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.0943300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354667,0.131612,0.189549,0.319651,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.0943500,,,,,,,,,,,,,,,,,,,,,0.106398,0.483684,0.235369,0.118922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.0943500,,,,,,,,,,,,,,,,,,,,,,,,,0.0735343,0.166182,0.123729,0.157679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.0943800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365147,0.154337,0.227781,0.285409,,,,,,,,,,,,,,,,,,,,,0
1569117816.0944000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.25,0.956044,0.0,,,,,,,,,0
1569117816.0944200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.495798,1.0,0.0,,,,,0
1569117816.0944300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.948454,0.653061,0.0,,,,,,,,,,,,,,,,,0
1569117816.0944400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.736842,0.711864,0.0,,,,,,,,,,,,,0
1569117816.0944500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.576923,1.0,0.0,0
1569117816.1958100,,,,,,,,,0.487087,0.119536,0.779262,0.467363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.1958700,,,,,,,,,,,,,1.03581,0.406077,0.662236,0.898914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.1958900,0.512922,0.959237,0.812894,0.469502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.1959200,,,,,0.352477,0.486943,0.439693,0.592013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.1959400,,,,,,,,,,,,,,,,,1.04845,0.481223,0.773949,0.849706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1569117816.1959600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100254,0.0690704,0.233117,0.118338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
